,bing,bing_tokens,bing_positivity_score,bing_negativity_score,google,google_tokens,google_positivity_score,google_negativity_score
0,ee.uu. vs méxico,"[ee, uu, vs, méxico]",0.0,0.0,america latina deberia mirar mas a la india,"[america, latina, deberia, mirar, ma, la, india]",0.0,0.0
1,américa es un continente poco poblado,"[américa, es, un, continent, poco, poblado]",0.0,0.0,america latina deberia imitar el modelo de la union europea,"[america, latina, deberia, imitar, el, modelo, de, la, union, europea]",0.0,0.0
2,américa es a colón lo que méxico es para,"[américa, es, colón, lo, que, méxico, es, para]",0.0,0.0,america haciendo historia,"[america, haciendo, historia]",0.0,0.0
3,américa es un continente,"[américa, es, un, continent]",0.0,0.0,america debe ser solo para los americanos,"[america, debe, ser, solo, para, lo, americano]",0.0,0.0
4,américa es un continente poco poblado porque,"[américa, es, un, continent, poco, poblado, porqu]",0.0,0.0,america es un continente,"[america, es, un, continent]",0.0,0.0
5,américa es un ferrari,"[américa, es, un, ferrari]",0.0,0.0,america es un pais,"[america, es, un, pai]",0.0,0.0
6,américa es el mejor,"[américa, es, el, mejor]",0.0,0.0,america es a colon lo que mexico es para,"[america, es, colon, lo, que, mexico, es, para]",0.0,0.0
7,américa es una mierda,"[américa, es, una, mierda]",0.0,0.0,america es pasion,"[america, es, pasion]",0.0,0.0
8,américa es tu canción,"[américa, es, tu, canción]",0.0,0.0,america es una palabra aguda grave o esdrujula,"[america, es, una, palabra, aguda, grave, o, esdrujula]",0.0,0.125
9,américa es mi pasión,"[américa, es, mi, pasión]",0.0,0.0,america es un continente poco poblado,"[america, es, un, continent, poco, poblado]",0.0,0.0
10,américa es de televisa,"[américa, es, de, televisa]",0.0,0.0,america es el mejor,"[america, es, el, mejor]",0.0,0.0
11,américa es mejor que pumas,"[américa, es, mejor, que, puma]",0.0,0.0,america es para los americanos,"[america, es, para, lo, americano]",0.0,0.0
12,américa es grande muy grande,"[américa, es, grand, muy, grand]",0.4,0.0,america es tu padre,"[america, es, tu, padr]",0.0,0.0
13,barack obama es buen líder,"[barack, obama, es, buen, líder]",0.0,0.0,america es un solo continente,"[america, es, un, solo, continent]",0.0,0.0
14,barack obama es presidente,"[barack, obama, es, president]",0.0,0.0,barack obama es reptiliano,"[barack, obama, es, reptiliano]",0.0,0.0
15,barack obama es osama bin laden,"[barack, obama, es, osama, bin, laden]",0.0,0.0,barack obama es republicano,"[barack, obama, es, republicano]",0.0,0.0
16,barack obama estatura,"[barack, obama, estatura]",0.0,0.0,barack obama es comunista,"[barack, obama, es, comunista]",0.0,0.0
17,barack obama estudiantes normalistas,"[barack, obama, estudiant, normalista]",0.0,0.0,barack obama es bueno,"[barack, obama, es, bueno]",0.0,0.0
18,barack obama estilo de liderazgo que ejerce,"[barack, obama, estilo, de, liderazgo, que, ejerc]",0.0,0.0,barack obama es catolico,"[barack, obama, es, catolico]",0.0,0.0
19,barack obama en cuba,"[barack, obama, en, cuba]",0.0,0.0,barack obama es bin laden,"[barack, obama, es, bin, laden]",0.0,0.0
20,barack obama en méxico,"[barack, obama, en, méxico]",0.0,0.0,barack obama es millonario,"[barack, obama, es, millonario]",0.0,0.0
21,barack obama en toluca,"[barack, obama, en, toluca]",0.0,0.0,barack obama es ateo,"[barack, obama, es, ateo]",0.0,0.0
22,barack obama en marte,"[barack, obama, en, mart]",0.0,0.0,barack obama es afroamericano,"[barack, obama, es, afroamericano]",0.0,0.0
23,barack obama en la actualidad,"[barack, obama, en, la, actualidad]",0.0,0.0,barack obama es rico,"[barack, obama, es, rico]",0.0,0.0
24,obama es protegido por aliens,"[obama, es, protegido, por, alien]",0.0,0.0,obama haciendo ejercicio,"[obama, haciendo, ejercicio]",0.0,0.0
25,obama es mason,"[obama, es, mason]",0.0,0.0,obama haciendo ejercicio en la casa blanca,"[obama, haciendo, ejercicio, en, la, casa, blanca]",0.0,0.0
26,obama es osama,"[obama, es, osama]",0.0,0.0,obama haciendo el ice bucket challenge,"[obama, haciendo, el, ice, bucket, challeng]",0.166666666667,0.0
27,obama es el,"[obama, es, el]",0.0,0.0,obama haciendo muecas,"[obama, haciendo, mueca]",0.0,0.0
28,obama es bin laden,"[obama, es, bin, laden]",0.0,0.0,obama haciendo gimnasia,"[obama, haciendo, gimnasia]",0.0,0.0
29,obama es cuidado por aliens,"[obama, es, cuidado, por, alien]",0.0,0.0,obama haciendo selfie,"[obama, haciendo, selfi]",0.0,0.0
30,obama es extraterrestre,"[obama, es, extraterrestr]",0.0,0.0,obama haciendo deporte,"[obama, haciendo, deport]",0.0,0.0
31,obama es bin laden español,"[obama, es, bin, laden, español]",0.0,0.0,obama haciendo caras,"[obama, haciendo, cara]",0.0,0.0
32,estados unidos es un país megadiverso,"[estado, unido, es, un, paí, megadiverso]",0.0,0.0,obama haciendo ejercicio en polonia,"[obama, haciendo, ejercicio, en, polonia]",0.0,0.0
33,estados unidos es un país,"[estado, unido, es, un, paí]",0.0,0.0,obama haciendo el ice bucket,"[obama, haciendo, el, ice, bucket]",0.0,0.0
34,estados unidos es capitalista o socialista,"[estado, unido, es, capitalista, o, socialista]",0.0,0.0,obama es republicano,"[obama, es, republicano]",0.0,0.0
35,estados unidos es un país desarrollado,"[estado, unido, es, un, paí, desarrollado]",0.0,0.0,obama es musulman,"[obama, es, musulman]",0.0,0.0
36,estados unidos es república,"[estado, unido, es, república]",0.0,0.0,obama es el,"[obama, es, el]",0.0,0.0
37,estados unidos es un país tercermundista,"[estado, unido, es, un, paí, tercermundista]",0.0,0.0,obama es osama,"[obama, es, osama]",0.0,0.0
38,estados unidos es capitalista,"[estado, unido, es, capitalista]",0.0,0.0,obama es cristiano,"[obama, es, cristiano]",0.0,0.0
39,estados unidos es un imperio,"[estado, unido, es, un, imperio]",0.0,0.0,obama es buen presidente,"[obama, es, buen, president]",0.0,0.0
40,estados unidos es el principal receptor de,"[estado, unido, es, el, princip, receptor, de]",0.0,0.0,obama es extraterrestre,"[obama, es, extraterrestr]",0.0,0.0
41,estados unidos es un país capitalista,"[estado, unido, es, un, paí, capitalista]",0.0,0.0,obama es judio,"[obama, es, judio]",0.0,0.0
42,estados unidos es un país de primer mundo,"[estado, unido, es, un, paí, de, primer, mundo]",0.0,0.0,obama es un reptil,"[obama, es, un, reptil]",0.0,0.0
43,estados unidos es receptor o expulsor,"[estado, unido, es, receptor, o, expulsor]",0.0,0.0,obama es bin laden,"[obama, es, bin, laden]",0.0,0.0
44,,[],0.0,0.0,estados unidos deberia bombardear mexico,"[estado, unido, deberia, bombardear, mexico]",0.0,0.0
45,,[],0.0,0.0,estados unidos debe dinero a china,"[estado, unido, debe, dinero, china]",0.0,0.0
46,,[],0.0,0.0,estados unidos debe mantenerse al margen de la guerra de vietnam,"[estado, unido, debe, manteners, al, margen, de, la, guerra, de, vietnam]",0.0,0.0
47,,[],0.0,0.0,estados unidos debe dinero,"[estado, unido, debe, dinero]",0.0,0.0
48,,[],0.0,0.0,estados unidos debe ser destruido,"[estado, unido, debe, ser, destruido]",0.0,0.0
49,,[],0.0,0.0,estados unidos debe intervenir en venezuela,"[estado, unido, debe, intervenir, en, venezuela]",0.0,0.0
50,,[],0.0,0.0,estados unidos debe intervenir en siria,"[estado, unido, debe, intervenir, en, siria]",0.0,0.0
51,,[],0.0,0.0,estados unidos debe subir techo de deuda,"[estado, unido, debe, subir, techo, de, deuda]",0.0,0.0
52,,[],0.0,0.0,estados unidos debe buscar reforzar la presion economica sobre cuba,"[estado, unido, debe, buscar, reforzar, la, presion, economica, sobr, cuba]",0.0,0.0
53,,[],0.0,0.0,estados unidos debe atacar a siria,"[estado, unido, debe, atacar, siria]",0.0,0.0
54,,[],0.0,0.0,estados unidos debe ser destruido,"[estado, unido, debe, ser, destruido]",0.0,0.0
