,bing,bing_tokens,bing_positivity_score,bing_negativity_score,google,google_tokens,google_positivity_score,google_negativity_score
0,usa should keep military troops in okinawa,"[usa, keep, militari, troop, okinawa]",0.0,0.0,usa should nuke isis,"[usa, nuke, isi]",0.0,0.0
1,usa should nuke isis,"[usa, nuke, isi]",0.0,0.0,usa should invade mexico,"[usa, invad, mexico]",0.0,0.0
2,usa should die,"[usa, die]",0.0,0.0,usa should take syrian refugees,"[usa, take, syrian, refuge]",0.0,0.0
3,usa should buy mexico,"[usa, buy, mexico]",0.0,0.0,usa should invade us,"[usa, invad, us]",0.0,0.0
4,usa should attack russia,"[usa, attack, russia]",0.0,0.333333333333,usa should be isolationist,"[usa, isolationist]",0.0,0.0
5,usa should help our people first,"[usa, help, peopl, first]",0.0,0.0,usa should invade canada,"[usa, invad, canada]",0.0,0.0
6,usa should start a draft,"[usa, start, draft]",0.0,0.0,usa should be destroyed,"[usa, destroy]",0.0,0.5
7,usa should kill the hamas,"[usa, kill, hama]",0.0,0.333333333333,usa should invade russia,"[usa, invad, russia]",0.0,0.0
8,usa should cut aid to gaza,"[usa, cut, aid, gaza]",0.0,0.25,usa should be nuked,"[usa, nuke]",0.0,0.0
9,usa should support the kurds,"[usa, support, kurd]",0.333333333333,0.0,usa should not attack syria,"[usa, attack, syria]",0.0,0.333333333333
10,usa should stay out of crimea,"[usa, stay, crimea]",0.0,0.0,usa doing business,"[usa, busi]",0.0,0.0
11,usa should not let in refugees,"[usa, let, refuge]",0.0,0.0,us is doing bad in the olympics,"[us, bad, olymp]",0.0,0.333333333333
12,usa should just ban everything,"[usa, ban, everyth]",0.0,0.0,usa doing the shmoney dance,"[usa, shmoney, danc]",0.0,0.0
13,usa should declares war on islam,"[usa, declar, war, islam]",0.0,0.25,usa doing business in italy,"[usa, busi, itali]",0.0,0.0
14,usa should ban guns like australia,"[usa, ban, gun, like, australia]",0.2,0.0,usa doing it right,"[usa, right]",0.0,0.0
15,usa should return to the moon essay,"[usa, return, moon, essay]",0.0,0.0,what is us doing about isis,"[us, isi]",0.0,0.0
16,usa should be enslaved,"[usa, enslav]",0.0,0.0,how is us doing in world cup,"[us, world, cup]",0.0,0.0
17,usa should invade saudi,"[usa, invad, saudi]",0.0,0.0,what is us doing about russia,"[us, russia]",0.0,0.0
18,usa should pay more for nato,"[usa, pay, nato]",0.0,0.0,what is the us doing to stop isis,"[us, stop, isi]",0.0,0.0
19,usa should not lift the embargo on cuba,"[usa, lift, embargo, cuba]",0.0,0.0,what is the us doing about ukraine,"[us, ukrain]",0.0,0.0
20,usa should get rid of medical insurance,"[usa, get, rid, medic, insur]",0.0,0.0,usa should be isolationist,"[usa, isolationist]",0.0,0.0
21,usa is going downhill,"[usa, go, downhil]",0.0,0.0,usa should be destroyed,"[usa, destroy]",0.0,0.5
22,usa is going to hell,"[usa, go, hell]",0.0,0.333333333333,usa should be nuked,"[usa, nuke]",0.0,0.0
23,usa is going down,"[usa, go]",0.0,0.0,should us be worried about ebola,"[us, worri, ebola]",0.0,0.0
24,usa is going to war,"[usa, go, war]",0.0,0.333333333333,us should be isolationist,"[us, isolationist]",0.0,0.0
25,usa is going godless,"[usa, go, godless]",0.0,0.0,us should be involved in foreign affairs,"[us, involv, foreign, affair]",0.0,0.0
26,usa is going to collapse,"[usa, go, collaps]",0.0,0.0,us should be destroyed,"[us, destroy]",0.0,0.5
27,what is usa doing about isis,"[usa, isi]",0.0,0.0,us should be communist,"[us, communist]",0.0,0.0
28,usa should be enslaved,"[usa, enslav]",0.0,0.0,us should be world police,"[us, world, polic]",0.0,0.0
29,usa is a republic,"[usa, republ]",0.0,0.0,usa should not be called america,"[usa, call, america]",0.0,0.0
30,usa is mine donald trump map,"[usa, mine, donald, trump, map]",0.0,0.0,usa is a country,"[usa, countri]",0.0,0.0
31,usa is a country,"[usa, countri]",0.0,0.0,usa is a republic,"[usa, republ]",0.0,0.0
32,usa is ilanlari,"[usa, ilanlari]",0.0,0.0,usa is in what continent,"[usa, contin]",0.0,0.0
33,usa is a republic not a democracy,"[usa, republ, democraci]",0.0,0.0,usa is ilanlari,"[usa, ilanlari]",0.0,0.0
34,usa is doomed,"[usa, doom]",0.0,0.5,usa is an oligarchy,"[usa, oligarchi]",0.0,0.0
35,usa is a corporation not a country,"[usa, corpor, countri]",0.0,0.0,usa is a democracy,"[usa, democraci]",0.0,0.0
36,usa is divided into factions patrick henry,"[usa, divid, faction, patrick, henri]",0.0,0.0,usa is bae,"[usa, bae]",0.0,0.0
37,usa is a corporation,"[usa, corpor]",0.0,0.0,usa is not america,"[usa, america]",0.0,0.0
38,usa is evil,"[usa, evil]",0.0,0.5,usa is the best,"[usa, best]",0.5,0.0
39,usa is babylon,"[usa, babylon]",0.0,0.0,usa is north america,"[usa, north, america]",0.0,0.0
40,usa is babylon the great,"[usa, babylon, great]",0.333333333333,0.0,america should convert to the metric system,"[america, convert, metric, system]",0.0,0.0
41,usa is a constitutional republic,"[usa, constitut, republ]",0.0,0.0,america should accept syrian refugees,"[america, accept, syrian, refuge]",0.25,0.0
42,usa is not a country,"[usa, countri]",0.0,0.0,america should close its borders,"[america, close, border]",0.0,0.0
43,usa is very boring place,"[usa, bore, place]",0.0,0.333333333333,america should not rule the philippines,"[america, rule, philippin]",0.0,0.0
44,usa is country,"[usa, countri]",0.0,0.0,america should be the world's policeman,"[america, world', policeman]",0.0,0.0
45,usa is not a democracy,"[usa, democraci]",0.0,0.0,america should leave nato,"[america, leav, nato]",0.0,0.0
46,usa is number one in,"[usa, number, one]",0.0,0.0,america should not be the world police,"[america, world, polic]",0.0,0.0
47,usa is constitutional republic,"[usa, constitut, republ]",0.0,0.0,america should split up,"[america, split]",0.0,0.0
48,usa is in north america,"[usa, north, america]",0.0,0.0,america should contain the soviet union,"[america, contain, soviet, union]",0.0,0.0
49,usa is a joke,"[usa, joke]",0.5,0.0,america should regulate bullets,"[america, regul, bullet]",0.0,0.0
50,usa is in what hemisphere,"[usa, hemispher]",0.0,0.0,america is doing just fine,"[america, fine]",0.5,0.0
51,usa is a democratic republic,"[usa, democrat, republ]",0.0,0.0,america is doing great,"[america, great]",0.5,0.0
52,usa is in which continent,"[usa, contin]",0.0,0.0,america is doing well,"[america, well]",0.5,0.0
53,usa is a democracy or republic,"[usa, democraci, republ]",0.0,0.0,america is doing better,"[america, better]",0.5,0.0
54,america should invade mexico,"[america, invad, mexico]",0.0,0.0,is america doing anything about isis,"[america, anyth, isi]",0.0,0.0
55,america should have a king,"[america, king]",0.0,0.0,is america doing enough to address domestic terrorism,"[america, enough, address, domest, terror]",0.0,0.2
56,america should accept syrian refugees,"[america, accept, syrian, refuge]",0.25,0.0,is america doing better than europe,"[america, better, europ]",0.333333333333,0.0
57,america should switch to the metric system,"[america, switch, metric, system]",0.0,0.0,is america doing the purge,"[america, purg]",0.0,0.0
58,america should not accept syrian refugees,"[america, accept, syrian, refuge]",0.25,0.0,is america doing good,"[america, good]",0.5,0.0
59,america should stay out of foreign affairs,"[america, stay, foreign, affair]",0.0,0.0,is america doing enough to stop isis,"[america, enough, stop, isi]",0.0,0.0
60,america should split up,"[america, split]",0.0,0.0,america should be the world's policeman,"[america, world', policeman]",0.0,0.0
61,america should change to the metric system,"[america, chang, metric, system]",0.0,0.0,america should be white,"[america, white]",0.0,0.0
62,america should fight isis,"[america, fight, isi]",0.0,0.333333333333,america should be a christian theocracy,"[america, christian, theocraci]",0.0,0.0
63,america should not be the world's policeman,"[america, world', policeman]",0.0,0.0,america should be more like europe,"[america, like, europ]",0.333333333333,0.0
64,america should open its borders,"[america, open, border]",0.0,0.0,america should be ashamed,"[america, asham]",0.0,0.5
65,america should stop all immigration,"[america, stop, immigr]",0.0,0.0,america should be a theocracy,"[america, theocraci]",0.0,0.0
66,america should have bombed japan,"[america, bomb, japan]",0.0,0.0,america should be destroyed,"[america, destroy]",0.0,0.5
67,america should let refugees in,"[america, let, refuge]",0.0,0.0,america should be segregated,"[america, segreg]",0.0,0.0
68,america should not stand behind jews,"[america, stand, behind, jew]",0.0,0.0,america should be isolationist,"[america, isolationist]",0.0,0.0
69,america should help other countries,"[america, help, countri]",0.0,0.0,america should be socialist,"[america, socialist]",0.0,0.0
70,america should nuke the middle east,"[america, nuke, middl, east]",0.0,0.0,america is doomed,"[america, doom]",0.0,0.5
71,america should pull military out of europe,"[america, pull, militari, europ]",0.0,0.0,america is already great,"[america, alreadi, great]",0.333333333333,0.0
72,america should convert to the metric system,"[america, convert, metric, system]",0.0,0.0,america is in the heart,"[america, heart]",0.0,0.0
73,america should get rid of the penny,"[america, get, rid, penni]",0.0,0.0,america is an oligarchy,"[america, oligarchi]",0.0,0.0
74,america should annex canada,"[america, annex, canada]",0.0,0.0,america is not a democracy,"[america, democraci]",0.0,0.0
75,america should close its borders,"[america, close, border]",0.0,0.0,america is a melting pot,"[america, melt, pot]",0.0,0.0
76,america should switch to a 4 day work week,"[america, switch, 4, day, work, week]",0.0,0.0,america is babylon,"[america, babylon]",0.0,0.0
77,america should switch metric system,"[america, switch, metric, system]",0.0,0.0,america is great,"[america, great]",0.5,0.0
78,america should have stayed out of ww1,"[america, stay, ww1]",0.0,0.0,america is falling apart,"[america, fall, apart]",0.0,0.0
79,america is going to collapse,"[america, go, collaps]",0.0,0.0,america is a christian nation,"[america, christian, nation]",0.0,0.0
80,america is going bankrupt,"[america, go, bankrupt]",0.0,0.0,barack obama should be re elected,"[barack, obama, re, elect]",0.0,0.0
81,america is going to hell,"[america, go, hell]",0.0,0.333333333333,barack obama should be impeached,"[barack, obama, impeach]",0.0,0.0
82,america is going to hell in a handbasket,"[america, go, hell, handbasket]",0.0,0.25,barack obama should resign,"[barack, obama, resign]",0.0,0.333333333333
83,america is going downhill,"[america, go, downhil]",0.0,0.0,barack obama we should be ashamed,"[barack, obama, asham]",0.0,0.333333333333
84,america is going to win trump,"[america, go, win, trump]",0.25,0.0,why barack obama should be president,"[barack, obama, presid]",0.0,0.0
85,america is using too much energy,"[america, use, much, energi]",0.0,0.0,what barack obama is doing now,"[barack, obama]",0.0,0.0
